Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,23,1500,1059,622,90,273,17,168,617,0,0
D:\Cod\SFML\Minesweeper\Minesweeper,23,1500,1059,622,90,273,17,168,617,0,0
